,artist_name,song_name,score,chart_index,year,decade
0,להקת חיל הים,מה אברך,0.5207667731629393,4,1969,1960
1,"להקת הנח""ל","קרנבל בנח""ל",0.6375,9,1969,1960
2,אבי טולדנו,עם רדת יום,0.48538754764930114,8,1969,1960
3,"להקת הנח""ל",בשמלה אדומה,0.37668161434977576,11,1969,1960
4,אריק איינשטיין,פראג,0.6741214057507987,13,1969,1960
5,חוה אלברשטיין,מרדף,0.7673611111111112,15,1969,1960
6,להקת חיל הים,רק בישראל,0.6442105263157895,19,1969,1960
7,"צוות הווי של הנח""ל",חורשת האיקליפטוס,0.47104247104247104,22,1969,1960
8,עמי שביט,הפרח הלבן,0.8271954674220963,17,1969,1960
9,אבי טולדנו,ראיתי את הקיץ,0.5154639175257731,21,1969,1960
10,אילנית,שיר בארבעה בתים,0.39690721649484534,20,1969,1960
11,"להקת הנח""ל",שיר לשלום,0.7137476459510358,5,1970,1970
12,שלמה ארצי,פתאום עכשיו פתאום היום,0.500772797527048,1,1970,1970
13,יגאל בשן,לצפון באהבה,0.6498771498771498,3,1970,1970
14,אריק איינשטיין ושלום חנוך,למה לי לקחת ללב,0.5844504021447721,2,1970,1970
15,מוטי פליישר,אבשלום,0.6489226869455006,8,1970,1970
16,רבקה זהר,ליד המסילה,0.5620347394540943,14,1970,1970
17,חוה אלברשטיין,משירי ארץ אהבתי,0.5855457227138643,16,1970,1970
18,יגאל בשן,עושה שלום,0.5,17,1970,1970
19,רבקה זהר,בן יפה נולד,0.619281045751634,18,1970,1970
20,להקת חיל הים,אנשי הדממה,0.44314868804664725,20,1970,1970
21,יהורם גאון,הינני כאן,0.5568797399783315,7,1971,1970
22,אילנה רובינא,לך איתה,0.4620811287477954,8,1971,1970
23,אילן ואילנית,חופשי ומאושר,0.44844517184942717,5,1971,1970
24,להקת פיקוד הצפון,מתוק מתוק,0.340896199659671,1,1971,1970
25,אריק איינשטיין,אני ואתה,0.3943217665615142,3,1971,1970
26,להקת פיקוד הדרום,שבחי מעוז,0.4965753424657534,10,1971,1970
27,חדוה ודוד,אני חולם על נעמי,0.49501246882793015,2,1971,1970
28,אריק איינשטיין וג'וזי כץ,מה איתי,0.37598425196850394,12,1971,1970
29,עדנה לב,ידיד נפש,0.7074829931972789,16,1971,1970
30,יגאל בשן,מודד המדרכות,0.7277227722772277,20,1971,1970
31,משפחת ירקוני,פמלה,0.5841463414634146,23,1971,1970
32,אילן ואילנית,רינגולי,0.6564102564102564,24,1971,1970
33,ששי קשת,ותבוא עליכם הברכה,0.5523809523809524,11,1971,1970
34,אחרית הימים,יש לי יום הולדת,0.3992297817715019,8,1972,1970
35,שלמה ארצי,אל תשאל ילד,0.4678111587982833,5,1972,1970
36,צוות הווי חטיבת הצנחנים ושלישיית פיקוד המרכז,מסביב למדורה,0.2706422018348624,3,1972,1970
37,בעז שרעבי,חייך וחיי,0.6554054054054054,2,1972,1970
38,אלי מגן,עד סוף הקיץ,0.5213849287169042,6,1972,1970
39,להקת חיל הים,חסקה,0.6285289747399703,9,1972,1970
40,יגאל בשן,מה נשתנה,0.4988095238095238,13,1972,1970
41,אל תקרא לי שחור,יום יבוא,0.32217847769028873,16,1972,1970
42,אילנית,לאורך השדרה שאין בה איש,0.7178899082568807,7,1972,1970
43,יהורם גאון,רחל,0.7952755905511811,18,1972,1970
44,עקיבא נוף,איזבל,0.481651376146789,20,1972,1970
45,שלמה ארצי,דרך שתי נקודות,0.6259426847662142,22,1972,1970
46,אילנה רובינא,בלדה על נערי שגדל,0.8043052837573386,10,1972,1970
47,אילנית,אי שם,0.5915221579961464,2,1973,1970
48,גבי שושן,שש עשרה מלאו לנער,0.4935437589670014,5,1973,1970
49,צביקה פיק,סימנים,0.5112781954887218,9,1973,1970
50,הנשמות הטהורות,אחכה לך,0.5022900763358779,12,1973,1970
51,גבי שושן,בראשית,0.4665523156089194,14,1973,1970
52,מתי כספי,אחותי הקטנה,0.32858837485172004,20,1973,1970
53,שלמה ארצי,אומרים ישנה ארץ,0.4781382228490832,23,1973,1970
54,עדנה לב,ספר לי כוכב,0.8174904942965779,19,1973,1970
55,חבורת בימות,לשיר זה כמו להיות ירדן,0.7548076923076923,18,1973,1970
56,צוות הווי הנדסה קרבית,ברחוב הנשמות הטהורות,0.5679012345679012,17,1973,1970
57,כוורת,יו יה,0.6243093922651933,3,1974,1970
58,כוורת,נתתי לה חיי,0.6197021764032073,1,1974,1970
59,נעמי שמר והגשש החיוור,לו יהי,0.49742268041237114,2,1974,1970
60,יגאל בשן,קפה אצל ברטה,0.6484687083888149,6,1974,1970
61,עוזי פוקס,אין לך מה לדאוג,0.5864779874213837,5,1974,1970
62,נתנאלה,שיר היונה,0.42731277533039647,12,1974,1970
63,יגאל בשן,לקראת שבת,0.71671388101983,11,1974,1970
64,אבי טולדנו,מה חשוב היום,0.518910741301059,13,1974,1970
65,הגשש החיוור,אף אחד לא קם,0.6645602948920485,17,1974,1970
66,רותי נבון,חשמל בכפות ידיך,0.37009345794392523,22,1974,1970
67,דודו זכאי,נפגשנו שוב,0.6666666666666666,19,1974,1970
68,חוה אלברשטיין,כמו צמח בר,0.8065764023210832,5,1975,1970
69,כוורת,גוליית,0.6344322344322344,1,1975,1970
70,שלמה ארצי,את ואני,0.6929133858267716,4,1975,1970
71,הגשש החיוור,נא,0.5747011952191236,6,1975,1970
72,יגאל בשן,יש לי ציפור קטנה בלב,0.5906040268456376,10,1975,1970
73,כוורת,טנגו צפרדעים,0.7180555555555556,8,1975,1970
74,צוות הווי חטיבת הצנחנים,בארץ אהבתי השקד פורח,0.3581183611532625,3,1975,1970
75,צביקה פיק,אני אוהב אותך לאה,0.6587155963302752,14,1975,1970
76,אורי שבח,ארץ אהובה,0.6470588235294118,13,1975,1970
77,"חנן יובל, דורית ראובני ודני כץ","פגישה, חצי פגישה",0.6171617161716172,15,1975,1970
78,אריק לביא,זה קורה,0.3617391304347826,19,1975,1970
79,הגשש החיוור,זאת שמעל לכל המצופה,0.5850487540628385,17,1975,1970
80,דודו זכאי,משחקים,0.8083832335329342,22,1975,1970
81,יגאל בשן ותיקי דיין,בואי נעשה לנו חג,0.5474592521572388,23,1975,1970
82,אושיק לוי,לא הכרתי אותך,0.6326530612244898,16,1975,1970
83,כוורת,שיר המחירון,0.480225988700565,25,1975,1970
84,נתנאלה,בן,0.6910197869101978,21,1975,1970
85,אילנית,שיר של יום חולין,0.6633802816901408,9,1976,1970
86,אריאל זילבר,רוצי שמוליק קורא לך,0.6201413427561837,1,1976,1970
87,כוורת,לו לו,0.5215605749486653,8,1976,1970
88,שוקולד מנטה מסטיק,אמור שלום,0.30342384887839435,3,1976,1970
89,חוה אלברשטיין,את תלכי בשדה,0.631376323387873,2,1976,1970
90,אריק איינשטיין,זו אותה האהבה,0.6382978723404256,10,1976,1970
91,תמוז,סוף עונת התפוזים,0.703125,7,1976,1970
92,הכל עובר חביבי,החגיגה נגמרת,0.486404833836858,12,1976,1970
93,תמוז,ככה את רצית אותי,0.5120481927710844,17,1976,1970
94,כוורת,היא כל כך יפה,0.6187050359712231,13,1976,1970
95,האחים והאחיות,כמו בלדה,0.39547038327526135,19,1976,1970
96,מתי כספי,ברית עולם,0.5612903225806452,15,1976,1970
97,אריק איינשטיין,ערב מול הגלעד,0.7111111111111111,22,1976,1970
98,צביקה פיק וג'וזי כץ,פרפרה,0.6365546218487395,20,1976,1970
99,נאוה ברוכין,שיר הבוקר,0.8755364806866953,14,1976,1970
100,גילה אלמגור,וידוי,0.5987544483985765,25,1976,1970
101,כוורת,מדינה קטנה,0.6032831737346102,26,1976,1970
102,שלישיית המעפיל,אהבת ערב,0.8456057007125891,23,1976,1970
103,אילנית,אהבה היא שיר לשניים,0.4967845659163987,3,1977,1970
104,יהודית רביץ,סליחות,0.4270676691729323,1,1977,1970
105,צביקה פיק,אהבה בסוף הקיץ,0.5292338709677419,4,1977,1970
106,רוחמה רז,רקפת,0.6144278606965174,7,1977,1970
107,אילנה אביטל,אותך,0.6264236902050114,10,1977,1970
108,מתי כספי,אין שלווה,0.5381026438569206,11,1977,1970
109,שלמה ארצי,מה את רוצה שאומר לך היום,0.325115562403698,16,1977,1970
110,אלכסנדרה,נפשי כלתה לחרוזים,0.8991228070175439,12,1977,1970
111,האחים והאחיות,בערוב היום,0.7485029940119761,13,1977,1970
112,שלום חנוך,אדם בתוך עצמו,0.6136919315403423,20,1977,1970
113,נאוה ברוכין,שיר לאהבה,0.3094890510948905,22,1977,1970
114,אריק לביא,אני אשיר לך שיר,0.41480206540447506,25,1977,1970
115,יגאל בשן ויזהר כהן,משפחת צנעני,0.8036649214659686,23,1977,1970
116,גלי עטרי,נסיך החלומות,0.5414012738853503,6,1978,1970
117,צביקה פיק,נאסף תשרי,0.5319148936170213,1,1978,1970
118,יזהר כהן ואלפא ביתא,אבניבי,0.38633540372670805,2,1978,1970
119,יעל לוי ודויד ברוזה,שיר אהבה בדואי,0.7279521674140508,7,1978,1970
120,יהורם גאון,עוד לא אהבתי די,0.4503735325506937,4,1978,1970
121,עוזי חיטמן,רציתי שתדע,0.6529516994633273,5,1978,1970
122,שלמה ארצי,את אינך יודעת,0.658493870402802,14,1978,1970
123,חוה אלברשטיין,סינדרלה מקומית,0.6729475100942126,15,1978,1970
124,אריק איינשטיין,סוס עץ,0.5106589147286822,12,1978,1970
125,שימי תבורי,אין לי אהבה,0.4868421052631579,17,1978,1970
126,יהודית רביץ,מישהו,0.48188405797101447,24,1978,1970
127,יהודית רביץ ודני ליטני,לא טוב היות האדם לבדו,0.23045267489711935,25,1978,1970
128,חוה אלברשטיין,פרח משוגע,0.5826210826210826,29,1978,1970
129,יהודית רביץ,לקחת את ידי בידך,0.6573913043478261,6,1979,1970
130,צביקה פיק,לא אני,0.6831683168316832,5,1979,1970
131,חלב ודבש,הללויה,0.5430622009569378,1,1979,1970
132,הכבש השישה עשר,גן סגור,0.3676300578034682,7,1979,1970
133,שוקי ודורית,גן נעול,0.42278481012658226,3,1979,1970
134,עפרה חזה,שיר הפרחה,0.5672451193058569,8,1979,1970
135,שימי תבורי,כינור דוד,0.5785837651122625,13,1979,1970
136,גזוז,תשע בכיכר,0.6882530120481928,12,1979,1970
137,יהודית רביץ,אהבה יומיומית,0.6351931330472103,15,1979,1970
138,ריקי גל,ילד רע,0.610912343470483,14,1979,1970
139,גזוז,לכבוד הקיץ,0.6765027322404371,23,1979,1970
140,גלי עטרי,דרך ארוכה,0.5477707006369427,26,1979,1970
141,חוה אלברשטיין,תקופות השנה,0.7096385542168675,21,1979,1970
